[11/10/2016 11:48:07]  Starting Greedy Search
[11/10/2016 11:48:07]  Dequeued :: Cost - 15	 Move - d	 PlayerPos - (4, 6) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 16	 Move - u	 PlayerPos - (4, 5) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 16	 Move - r	 PlayerPos - (5, 6) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 16	 Move - l	 PlayerPos - (3, 6) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 16	 Move - l	 PlayerPos - (3, 6) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 17	 Move - u	 PlayerPos - (3, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 17	 Move - r	 PlayerPos - (4, 6) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 17	 Move - u	 PlayerPos - (3, 5) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 18	 Move - r	 PlayerPos - (4, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 18	 Move - d	 PlayerPos - (3, 6) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 18	 Move - l	 PlayerPos - (2, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 18	 Move - l	 PlayerPos - (2, 5) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 19	 Move - u	 PlayerPos - (2, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 19	 Move - r	 PlayerPos - (3, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 19	 Move - u	 PlayerPos - (2, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 20	 Move - u	 PlayerPos - (2, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 20	 Move - r	 PlayerPos - (3, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 20	 Move - d	 PlayerPos - (2, 5) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 20	 Move - l	 PlayerPos - (1, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 20	 Move - r	 PlayerPos - (3, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 21	 Move - r	 PlayerPos - (4, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 21	 Move - d	 PlayerPos - (3, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 21	 Move - l	 PlayerPos - (2, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 20	 Move - l	 PlayerPos - (1, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 21	 Move - u	 PlayerPos - (1, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 21	 Move - r	 PlayerPos - (2, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 21	 Move - d	 PlayerPos - (3, 5) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 22	 Move - r	 PlayerPos - (4, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 22	 Move - d	 PlayerPos - (3, 6) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 22	 Move - l	 PlayerPos - (2, 5) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 19	 Move - r	 PlayerPos - (3, 5) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 20	 Move - r	 PlayerPos - (4, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 20	 Move - d	 PlayerPos - (3, 6) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 20	 Move - l	 PlayerPos - (2, 5) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 21	 Move - r	 PlayerPos - (4, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 22	 Move - u	 PlayerPos - (4, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 22	 Move - r	 PlayerPos - (5, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 22	 Move - d	 PlayerPos - (4, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 22	 Move - l	 PlayerPos - (3, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 22	 Move - l	 PlayerPos - (3, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 23	 Move - r	 PlayerPos - (4, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 23	 Move - d	 PlayerPos - (3, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 23	 Move - l	 PlayerPos - (2, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 23	 Move - l	 PlayerPos - (2, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 24	 Move - u	 PlayerPos - (2, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 24	 Move - r	 PlayerPos - (3, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 24	 Move - d	 PlayerPos - (2, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 24	 Move - d	 PlayerPos - (2, 5) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 25	 Move - u	 PlayerPos - (2, 4) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 25	 Move - r	 PlayerPos - (3, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 23	 Move - r	 PlayerPos - (4, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 24	 Move - u	 PlayerPos - (4, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 24	 Move - r	 PlayerPos - (5, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 24	 Move - d	 PlayerPos - (4, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 24	 Move - l	 PlayerPos - (3, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 24	 Move - u	 PlayerPos - (2, 3) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 25	 Move - u	 PlayerPos - (2, 2) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 25	 Move - d	 PlayerPos - (2, 4) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 25	 Move - l	 PlayerPos - (1, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 25	 Move - l	 PlayerPos - (1, 3) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 26	 Move - u	 PlayerPos - (1, 2) :: Added to Fringe
